"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"99","Darrel Williams (NO)","21","102","4.9","30","2","1","4","8","9","2.3","0","0","5","17.1","3.4","0.0%"
"100","Corey Clement (ARI)","15","55","3.7","12","0","1","5","7","54","10.8","0","0","5","16.9","3.4","0.3%"
"101","Benny Snell Jr. (DET)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","16.7","1.9","0.0%"
"102","Sony Michel (FA)","36","106","2.9","12","0","0","9","13","53","5.9","0","0","10","15.9","1.6","0.1%"
"103","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","15.2","1.3","0.0%"
"104","Ronald Jones II (DAL)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","15.2","3.0","1.1%"
"105","Hassan Haskins (TEN)","25","93","3.7","12","0","0","11","12","57","5.2","0","0","14","15.0","1.1","0.7%"
"106","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","14.1","1.3","1.0%"
"107","Zander Horvath (LAC)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","13.6","1.7","0.0%"
"108","Reggie Gilliam (BUF)","0","0","0","0","0","0","9","11","76","8.4","1","0","8","13.6","1.7","0.1%"
"109","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","13.2","1.9","0.0%"
"110","Royce Freeman (LAR)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","13.0","2.6","0.0%"
"111","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.7%"
"112","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.1%"
"113","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.6%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","9.8","1.0","0.3%"
