"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","3.0","0.4","0.1%"
"182","Tyrie Cleveland (PHI)","2","7","28","14.0","16","0","0","0","0","0","0","5","2.8","0.6","0.0%"
"183","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","2.8","0.2","0.0%"
"184","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"185","Daylen Baldwin (FA)","2","2","25","12.5","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"186","Simi Fehoko (DAL)","3","4","24","8.0","12","0","0","0","0","0","0","3","2.4","0.8","0.0%"
"187","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","2.4","0.3","0.1%"
"188","Dezmon Patmon (BUF)","2","6","24","12.0","17","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"189","Andy Isabella (BUF)","2","5","21","10.5","11","0","0","1","1","0","0","4","2.2","0.6","0.0%"
"190","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"191","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","2.1","0.4","0.0%"
"192","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"193","Penny Hart (ATL)","3","4","20","6.7","15","0","0","0","0","0","0","3","2.0","0.7","0.0%"
"194","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","1.9","0.3","0.1%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"196","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"197","Dennis Houston (DAL)","2","6","16","8.0","11","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"198","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"199","Bryan Edwards (NO)","3","5","15","5.0","10","0","0","0","0","0","0","4","1.5","0.4","0.1%"
"200","Frank Darby (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"201","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"202","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"203","Montrell Washington (DEN)","4","9","2","0.5","4","0","0","5","30","0","1","15","1.2","0.1","0.0%"
"204","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","1.2","0.4","0.3%"
"205","Miles Boykin (PIT)","2","3","11","5.5","11","0","0","0","0","0","0","10","1.1","0.1","0.1%"
"206","Tyron Johnson (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"207","Jalen Camp (HOU)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"208","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"209","C.J. Board (FA)","1","1","6","6.0","6","0","0","0","0","0","0","4","0.6","0.2","0.0%"
"210","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"211","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"212","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"213","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"214","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"217","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Gary Jennings Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"221","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Davion Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Darrius Shepherd (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"227","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"228","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","J.J. Koski (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Demetric Felton Jr. (CLE)","2","4","8","4.0","5","0","0","1","-4","0","0","6","0.0","0.0","0.1%"
"237","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Joe Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Charleston Rambo (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","4.6%"
"246","Isaiah Coulter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"248","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Tarik Black (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"252","Lynn Bowden Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Mike Harley Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Dre Miller (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Kendric Pryor (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Kekoa Crawford (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Kaden Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Demario Douglas (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"261","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Gavin Holmes (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Jaray Jenkins (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
